"","x"
"1","sem defeito"
"2","sem defeito"
"3","sem defeito"
"4","sem defeito"
"5","sem defeito"
"6","sem defeito"
"7","sem defeito"
"8","sem defeito"
"9","sem defeito"
"10","sem defeito"
"11","sem defeito"
"12","sem defeito"
"13","sem defeito"
"14","sem defeito"
"15","sem defeito"
"16","sem defeito"
"17","sem defeito"
"18","sem defeito"
"19","defeito"
"20","sem defeito"
"21","sem defeito"
"22","sem defeito"
"23","sem defeito"
"24","sem defeito"
"25","sem defeito"
"26","sem defeito"
"27","sem defeito"
"28","sem defeito"
"29","sem defeito"
"30","sem defeito"
"31","sem defeito"
"32","sem defeito"
"33","sem defeito"
"34","sem defeito"
"35","sem defeito"
"36","sem defeito"
"37","sem defeito"
"38","sem defeito"
"39","sem defeito"
"40","sem defeito"
"41","sem defeito"
"42","sem defeito"
"43","sem defeito"
"44","sem defeito"
"45","sem defeito"
"46","sem defeito"
"47","sem defeito"
"48","sem defeito"
"49","sem defeito"
"50","sem defeito"
"51","sem defeito"
"52","sem defeito"
"53","sem defeito"
"54","sem defeito"
"55","sem defeito"
"56","sem defeito"
"57","sem defeito"
"58","sem defeito"
"59","sem defeito"
"60","sem defeito"
"61","sem defeito"
"62","sem defeito"
"63","sem defeito"
"64","sem defeito"
"65","defeito"
"66","sem defeito"
"67","sem defeito"
"68","sem defeito"
"69","sem defeito"
"70","sem defeito"
"71","sem defeito"
"72","sem defeito"
"73","sem defeito"
"74","sem defeito"
"75","sem defeito"
"76","sem defeito"
"77","sem defeito"
"78","defeito"
"79","sem defeito"
"80","sem defeito"
"81","sem defeito"
"82","sem defeito"
"83","sem defeito"
"84","sem defeito"
"85","sem defeito"
"86","sem defeito"
"87","sem defeito"
"88","sem defeito"
"89","sem defeito"
"90","sem defeito"
"91","sem defeito"
"92","sem defeito"
"93","sem defeito"
"94","sem defeito"
"95","sem defeito"
"96","sem defeito"
"97","sem defeito"
"98","sem defeito"
"99","sem defeito"
"100","sem defeito"
"101","sem defeito"
"102","sem defeito"
"103","sem defeito"
"104","sem defeito"
"105","sem defeito"
"106","sem defeito"
"107","sem defeito"
"108","sem defeito"
"109","sem defeito"
"110","sem defeito"
"111","sem defeito"
"112","sem defeito"
"113","sem defeito"
"114","sem defeito"
"115","sem defeito"
"116","sem defeito"
"117","sem defeito"
"118","sem defeito"
"119","sem defeito"
"120","sem defeito"
"121","sem defeito"
"122","sem defeito"
"123","sem defeito"
"124","sem defeito"
"125","sem defeito"
"126","sem defeito"
"127","sem defeito"
"128","sem defeito"
"129","sem defeito"
"130","sem defeito"
"131","defeito"
"132","sem defeito"
"133","sem defeito"
"134","sem defeito"
"135","sem defeito"
"136","sem defeito"
"137","sem defeito"
"138","sem defeito"
"139","sem defeito"
"140","sem defeito"
"141","sem defeito"
"142","sem defeito"
"143","sem defeito"
"144","sem defeito"
"145","sem defeito"
"146","sem defeito"
"147","sem defeito"
"148","defeito"
"149","sem defeito"
"150","sem defeito"
"151","sem defeito"
"152","sem defeito"
"153","sem defeito"
"154","sem defeito"
"155","sem defeito"
"156","sem defeito"
"157","sem defeito"
"158","sem defeito"
"159","sem defeito"
"160","sem defeito"
"161","sem defeito"
"162","sem defeito"
"163","sem defeito"
"164","sem defeito"
"165","sem defeito"
"166","sem defeito"
"167","sem defeito"
"168","sem defeito"
"169","sem defeito"
"170","sem defeito"
"171","sem defeito"
"172","sem defeito"
"173","sem defeito"
"174","sem defeito"
"175","sem defeito"
"176","sem defeito"
"177","sem defeito"
"178","sem defeito"
"179","sem defeito"
"180","sem defeito"
"181","sem defeito"
"182","sem defeito"
"183","sem defeito"
"184","sem defeito"
"185","sem defeito"
"186","sem defeito"
"187","sem defeito"
"188","sem defeito"
"189","sem defeito"
"190","sem defeito"
"191","sem defeito"
"192","defeito"
"193","sem defeito"
"194","sem defeito"
"195","sem defeito"
"196","sem defeito"
"197","sem defeito"
"198","sem defeito"
"199","sem defeito"
"200","sem defeito"
"201","sem defeito"
"202","sem defeito"
"203","sem defeito"
